iter	Passed	Remaining
0	3	3176
1	6	3035
2	8	2976
3	11	2935
4	14	2893
5	17	2869
6	20	2857
7	22	2820
8	25	2770
9	27	2755
10	30	2744
11	33	2726
12	35	2714
13	38	2700
14	40	2685
15	43	2681
16	46	2683
17	49	2679
18	51	2678
19	54	2681
20	57	2676
21	60	2670
22	62	2664
23	65	2657
24	67	2651
25	70	2646
26	73	2641
27	76	2638
28	78	2636
29	81	2631
30	83	2625
31	86	2618
32	89	2617
33	91	2610
34	94	2604
35	97	2597
36	99	2589
37	102	2584
38	104	2579
39	107	2574
40	109	2570
41	112	2564
42	114	2558
43	117	2553
44	120	2551
45	122	2550
46	125	2546
47	128	2547
48	131	2547
49	133	2545
50	136	2542
51	139	2538
52	142	2540
53	145	2549
54	148	2551
55	151	2551
56	154	2550
57	156	2549
58	159	2545
59	162	2541
60	164	2538
61	167	2535
62	170	2532
63	173	2539
64	176	2539
65	179	2539
66	182	2540
67	185	2539
68	188	2541
69	191	2543
70	194	2546
71	197	2542
72	200	2540
73	202	2536
74	205	2538
75	208	2538
76	211	2538
77	214	2535
78	217	2531
79	219	2528
80	222	2524
81	236	2652
82	248	2740
83	251	2744
84	254	2743
85	258	2742
86	261	2740
87	264	2740
88	267	2737
89	270	2734
90	273	2731
91	276	2728
92	279	2724
93	282	2722
94	285	2721
95	290	2736
96	293	2736
97	299	2755
98	302	2750
99	304	2744
100	310	2760
101	317	2793
102	320	2789
103	323	2785
104	326	2781
105	329	2778
106	332	2773
107	336	2775
108	339	2773
109	342	2768
110	344	2761
111	347	2754
112	350	2752
113	353	2749
114	356	2745
115	359	2742
116	366	2766
117	373	2789
118	376	2786
119	379	2782
120	385	2801
121	401	2890
122	409	2919
123	412	2912
124	414	2904
125	417	2896
126	424	2916
127	433	2950
128	436	2949
129	439	2943
130	442	2935
131	445	2928
132	448	2921
133	450	2914
134	453	2907
135	456	2902
136	460	2898
137	463	2896
138	467	2892
139	470	2893
140	474	2891
141	478	2893
142	482	2889
143	485	2887
144	488	2880
145	491	2872
146	493	2864
147	496	2855
148	498	2847
149	516	2924
150	518	2914
151	520	2903
152	522	2893
153	524	2882
154	527	2873
155	529	2864
156	531	2854
157	533	2845
158	536	2836
159	538	2827
160	540	2818
161	543	2810
162	545	2801
163	547	2792
164	550	2784
165	552	2775
166	554	2766
167	556	2757
168	559	2750
169	561	2741
170	563	2734
171	566	2725
172	568	2717
173	570	2710
174	573	2702
175	575	2695
176	578	2687
177	580	2680
178	583	2674
179	585	2669
180	588	2662
181	591	2657
182	593	2651
183	596	2644
184	598	2636
185	600	2630
186	603	2622
187	605	2616
188	608	2609
189	610	2603
190	613	2596
191	615	2589
192	617	2583
193	620	2576
194	622	2570
195	624	2563
196	627	2557
197	629	2550
198	632	2544
199	634	2537
200	636	2531
201	639	2524
202	641	2518
203	643	2511
204	646	2505
205	648	2499
206	650	2493
207	653	2487
208	655	2480
209	657	2474
210	659	2467
211	662	2461
212	664	2456
213	667	2450
214	669	2444
215	671	2438
216	674	2433
217	676	2427
218	678	2421
219	681	2415
220	683	2409
221	685	2403
222	688	2398
223	690	2392
224	692	2386
225	696	2383
226	700	2384
227	702	2379
228	705	2375
229	708	2370
230	710	2366
231	713	2362
232	716	2357
233	719	2353
234	722	2351
235	725	2349
236	728	2344
237	730	2340
238	733	2334
239	735	2329
240	738	2324
241	740	2319
242	742	2314
243	745	2309
244	747	2304
245	750	2299
246	752	2294
247	754	2289
248	757	2284
249	759	2279
250	762	2274
251	764	2269
252	766	2264
253	769	2259
254	771	2254
255	774	2249
256	776	2244
257	778	2239
258	781	2234
259	783	2230
260	786	2225
261	788	2220
262	790	2215
263	792	2210
264	795	2205
265	797	2201
266	800	2196
267	802	2191
268	804	2186
269	807	2182
270	809	2177
271	811	2172
272	814	2168
273	816	2163
274	819	2159
275	821	2154
276	823	2150
277	826	2146
278	828	2141
279	831	2137
280	833	2132
281	835	2128
282	838	2123
283	840	2118
284	842	2114
285	845	2110
286	847	2106
287	850	2102
288	852	2098
289	855	2093
290	857	2089
291	860	2085
292	862	2081
293	864	2076
294	867	2072
295	869	2067
296	872	2064
297	874	2059
298	876	2055
299	878	2050
300	881	2046
301	883	2042
302	886	2039
303	889	2035
304	891	2032
305	894	2028
306	897	2025
307	899	2021
308	902	2017
309	904	2014
310	907	2010
311	910	2007
312	912	2003
313	915	1999
314	917	1995
315	920	1991
316	922	1987
317	924	1983
318	927	1979
319	929	1975
320	931	1971
321	934	1967
322	936	1963
323	939	1960
324	941	1956
325	944	1952
326	946	1948
327	948	1944
328	951	1940
329	953	1936
330	956	1932
331	958	1928
332	961	1924
333	963	1920
334	965	1916
335	968	1913
