Date,compound,neg,neu,pos,Open,High,Low,Close,Volume
20210104,0.9999,0.043,0.807,0.149,819000.0,838000.0,804000.0,829000.0,182864
20210105,0.9999,0.044,0.796,0.16,825000.0,834000.0,818000.0,832000.0,119911
20210106,0.9998,0.054,0.807,0.14,828000.0,837000.0,816000.0,817000.0,145873
20210107,0.9998,0.044,0.793,0.163,824000.0,824000.0,816000.0,819000.0,116480
20210108,0.9995,0.065,0.793,0.142,821000.0,840000.0,815000.0,837000.0,263860
20210111,0.9998,0.05,0.806,0.144,841000.0,883000.0,824000.0,846000.0,560123
20210112,0.9998,0.044,0.806,0.15,847000.0,862000.0,806000.0,818000.0,289113
20210113,0.9998,0.041,0.82,0.139,814000.0,832000.0,802000.0,830000.0,207744
20210114,0.9998,0.051,0.785,0.164,828000.0,828000.0,810000.0,816000.0,163631
20210115,0.9987,0.075,0.793,0.132,820000.0,824000.0,804000.0,804000.0,142061
20210118,0.9999,0.048,0.788,0.164,793000.0,811000.0,786000.0,788000.0,163860
20210119,0.9998,0.062,0.77,0.168,786000.0,807000.0,775000.0,796000.0,137717
20210120,0.9997,0.05,0.811,0.139,800000.0,804000.0,786000.0,795000.0,98277
20210121,0.9998,0.071,0.758,0.17,795000.0,802000.0,793000.0,796000.0,85041
20210122,0.9992,0.062,0.808,0.13,799000.0,804000.0,789000.0,794000.0,117646
20210125,0.9997,0.069,0.786,0.145,791000.0,798000.0,786000.0,790000.0,117640
20210126,0.9999,0.058,0.725,0.216,795000.0,827000.0,793000.0,802000.0,277731
20210127,1.0,0.053,0.744,0.203,829000.0,852000.0,808000.0,849000.0,652417
20210128,1.0,0.056,0.712,0.233,830000.0,846000.0,816000.0,838000.0,233243
20210129,0.9988,0.056,0.83,0.114,844000.0,844000.0,792000.0,793000.0,276664
20210201,0.9999,0.063,0.759,0.177,801000.0,816000.0,795000.0,813000.0,138666
20210202,0.9995,0.075,0.792,0.134,817000.0,829000.0,806000.0,826000.0,136914
20210203,0.9999,0.08,0.744,0.177,832000.0,834000.0,813000.0,825000.0,114009
20210204,0.9996,0.051,0.822,0.127,821000.0,822000.0,806000.0,813000.0,97807
20210205,0.9998,0.05,0.774,0.176,813000.0,817000.0,806000.0,812000.0,67117
20210208,0.9998,0.059,0.779,0.162,811000.0,819000.0,803000.0,804000.0,67546
20210209,0.9997,0.047,0.818,0.136,805000.0,810000.0,802000.0,802000.0,59434
20210210,0.9997,0.078,0.744,0.178,806000.0,807000.0,795000.0,799000.0,82470
20210215,0.9996,0.078,0.778,0.144,804000.0,805000.0,799000.0,800000.0,70396
20210216,0.9997,0.07,0.785,0.144,801000.0,803000.0,794000.0,796000.0,88743
20210217,0.9998,0.058,0.788,0.154,793000.0,793000.0,778000.0,786000.0,131486
20210218,0.9996,0.044,0.83,0.126,784000.0,794000.0,783000.0,783000.0,62888
20210219,0.9995,0.084,0.755,0.161,785000.0,793000.0,779000.0,793000.0,81612
20210222,0.9998,0.054,0.799,0.146,793000.0,794000.0,779000.0,780000.0,77046
20210223,0.9999,0.046,0.795,0.159,773000.0,774000.0,755000.0,760000.0,138304
20210224,0.9999,0.063,0.772,0.165,757000.0,770000.0,745000.0,747000.0,125104
20210225,0.9999,0.05,0.775,0.175,754000.0,779000.0,748000.0,775000.0,81593
