,날짜,언론사,기사제목,링크
0, 2022.01.04 04:02,매일경제,"삼성전자 BESPOKE, 한국인이 반한 맞춤가전…최대시장 미국서도 ""와...",https://finance.naver.com/item/news_read.naver?article_id=0004903788&office_id=009&code=005930&page=65&sm=
1, 2022.01.04 00:06,이데일리,개미가 삼성전자 다음으로 많이 산 현대모비스…언제 오를까,https://finance.naver.com/item/news_read.naver?article_id=0005119391&office_id=018&code=005930&page=65&sm=
2, 2022.01.03 22:24,서울경제,맞춤형 스크린 앞세운 삼성···LG는 “車서 영화·운동” [CES 20...,https://finance.naver.com/item/news_read.naver?article_id=0004003880&office_id=011&code=005930&page=65&sm=
3, 2022.01.03 17:19,한국경제,최강 화질 '삼성 마이크로 LED'…더 진화한 'LG 투명 OLED',https://finance.naver.com/item/news_read.naver?article_id=0004648491&office_id=015&code=005930&page=65&sm=
4, 2022.01.03 17:03,매일경제,CES서 '삼성-LG 동맹설' 윤곽 나올까…디스플레이 업계 촉각,https://finance.naver.com/item/news_read.naver?article_id=0004903566&office_id=009&code=005930&page=65&sm=
5, 2022.01.03 21:16,이데일리,(영상)‘반도체의 해’ 되나…새해 삼성전자·SK하이닉스로 쏠린 눈,https://finance.naver.com/item/news_read.naver?article_id=0005119365&office_id=018&code=005930&page=65&sm=
6, 2022.01.03 16:48,매경이코노미,"“반도체주 바닥 찍었다”…삼성전자, SK하이닉스 실적 전망 긍정적, ...",https://finance.naver.com/item/news_read.naver?article_id=0000072461&office_id=024&code=005930&page=65&sm=
7, 2022.01.03 06:02,한경비즈니스,“반도체주 바닥 찍었다”…삼성전자·SK하이닉스 주가 상승 전망,https://finance.naver.com/item/news_read.naver?article_id=0000059543&office_id=050&code=005930&page=65&sm=
8, 2022.01.03 18:42,파이낸셜뉴스,최고 기술 전문가 ‘삼성명장’ 11인 선발,https://finance.naver.com/item/news_read.naver?article_id=0004766177&office_id=014&code=005930&page=65&sm=
9, 2022.01.03 12:07,아시아경제,20년 넘게 한 우물 판 '삼성명장' 11인,https://finance.naver.com/item/news_read.naver?article_id=0005024865&office_id=277&code=005930&page=65&sm=
10, 2022.01.03 11:27,서울경제,‘삼성名匠’에 37년 영업 베테랑 민형기씨 등 사내 전문가 11명,https://finance.naver.com/item/news_read.naver?article_id=0004003579&office_id=011&code=005930&page=65&sm=
11, 2022.01.03 10:41,헤럴드경제,"삼성, 최고 기술 전문가 ‘삼성명장’ 11명 선발",https://finance.naver.com/item/news_read.naver?article_id=0001932291&office_id=016&code=005930&page=65&sm=
12, 2022.01.03 10:38,머니투데이,영업 달인에 구매 전문가까지…삼성 TV·반도체 이끈 11명 명장,https://finance.naver.com/item/news_read.naver?article_id=0004691079&office_id=008&code=005930&page=65&sm=
13, 2022.01.03 10:10,파이낸셜뉴스,"'삼성명장' 11인 선정, ""20년 이상 근무·최고 기술전문가""",https://finance.naver.com/item/news_read.naver?article_id=0004765608&office_id=014&code=005930&page=65&sm=
14, 2022.01.03 18:29,이코노미스트,이름만 전자? ‘전장 사업’ 박차 가하는 삼성·LG전자,https://finance.naver.com/item/news_read.naver?article_id=0000020894&office_id=243&code=005930&page=65&sm=
15, 2022.01.03 17:15,한국경제,삼성 '모빌리티' 현대차 '로봇'…기술융합 미래 연다,https://finance.naver.com/item/news_read.naver?article_id=0004648487&office_id=015&code=005930&page=65&sm=
16, 2022.01.03 17:04,아시아경제,"씰리침대, 삼성전자 '비스포크 웨딩 클럽' 제휴 협업",https://finance.naver.com/item/news_read.naver?article_id=0005025123&office_id=277&code=005930&page=65&sm=
17, 2022.01.03 16:47,헤럴드경제,"“삼성 폴더블폰 안 사?” 일본, 지독한 한국제품 찬밥대우",https://finance.naver.com/item/news_read.naver?article_id=0001932597&office_id=016&code=005930&page=65&sm=
18, 2022.01.03 16:04,조세일보,"삼성전자 등, 최고 기술 전문가 '삼성 명장 11명' 선정",https://finance.naver.com/item/news_read.naver?article_id=0002263676&office_id=123&code=005930&page=65&sm=
19, 2022.01.03 14:51,이코노미스트,"삼성, 제조·영업·마케팅 등 최고 기술 전문가 ‘삼성명장’ 11명 선...",https://finance.naver.com/item/news_read.naver?article_id=0000020868&office_id=243&code=005930&page=65&sm=
20, 2022.01.03 14:03,이데일리,최고 기술 전문가 ‘삼성명장’ 11명 선발…역대 최대,https://finance.naver.com/item/news_read.naver?article_id=0005119059&office_id=018&code=005930&page=65&sm=
