,Date,stock price fluctuations,sent_score,blob_score,norm_score,Close
3,20210104,1,Positive,0.1120286109856173,0.2499765622802784,829000.0
4,20210105,0,Positive,0.104161408036408,0.2499765622802784,832000.0
5,20210106,1,Neutral,0.0623220672539739,0.249953124121134,817000.0
6,20210107,1,Neutral,0.1036246101568682,0.249953124121134,819000.0
7,20210108,0,Neutral,0.0721402757803857,0.2499296855225969,837000.0
10,20210111,0,Positive,0.1100798951615277,0.2499765622802784,846000.0
11,20210112,1,Positive,0.1011834224943981,0.2499765622802784,818000.0
12,20210113,1,Positive,0.0452469833407333,0.2499765622802784,830000.0
13,20210114,0,Neutral,0.1122809902698171,0.2499765622802784,816000.0
14,20210115,0,Neutral,0.0145322057490199,0.2497656030323806,804000.0
17,20210118,1,Positive,0.0877625524881622,0.2499765622802784,788000.0
18,20210119,1,Positive,0.1072391729609302,0.2499765622802784,796000.0
19,20210120,1,Neutral,0.0443032872658423,0.249953124121134,795000.0
20,20210121,0,Positive,0.0718506820814513,0.2499765622802784,796000.0
21,20210122,1,Neutral,0.1074810329411556,0.2498593670909315,794000.0
24,20210125,0,Neutral,0.1116057823349489,0.249953124121134,790000.0
25,20210126,0,Positive,0.1138285022269397,0.25,802000.0
26,20210127,0,Positive,0.1279602419185752,0.25,849000.0
27,20210128,0,Positive,0.1102762519331432,0.25,838000.0
28,20210129,1,Neutral,0.1083072358072358,0.2498124859400787,793000.0
31,20210201,1,Positive,0.0578329928904641,0.2499765622802784,813000.0
32,20210202,1,Neutral,0.053420682492111,0.2499062464846973,826000.0
33,20210203,0,Positive,0.0922002986800781,0.2499765622802784,825000.0
34,20210204,1,Neutral,0.0667623555123555,0.2499296855225969,813000.0
35,20210205,0,Neutral,0.1050709005457609,0.249953124121134,812000.0
38,20210208,0,Neutral,0.0382580616969757,0.249953124121134,804000.0
39,20210209,1,Neutral,0.0580482303085043,0.2499296855225969,802000.0
40,20210210,1,Neutral,0.0425106928999144,0.249953124121134,799000.0
45,20210215,1,Neutral,0.0728993907596527,0.249953124121134,800000.0
46,20210216,0,Neutral,0.0775958799971957,0.249953124121134,796000.0
47,20210217,0,Positive,0.0709556075237893,0.2499765622802784,786000.0
48,20210218,1,Neutral,0.0503431749005911,0.2499062464846973,783000.0
49,20210219,0,Neutral,0.0616107142696738,0.2499062464846973,793000.0
52,20210222,0,Positive,0.0795150240085584,0.2499765622802784,780000.0
53,20210223,0,Positive,0.0590248540633156,0.2499765622802784,760000.0
54,20210224,1,Positive,0.1011365042871893,0.2499765622802784,747000.0
55,20210225,0,Positive,0.0773793912890829,0.2499765622802784,775000.0
56,20210226,1,Neutral,0.1043647046384272,0.2499062464846973,750000.0
60,20210302,1,Positive,0.0886598649462727,0.2499765622802784,753000.0
61,20210303,0,Neutral,0.086385634849322,0.2496952753772779,761000.0
62,20210304,0,Neutral,0.0519450273278024,0.2498828070074654,748000.0
63,20210305,0,Neutral,0.1022096402096402,0.249953124121134,719000.0
66,20210308,0,Neutral,0.0769858635987668,0.2499296855225969,696000.0
67,20210309,0,Neutral,0.1093000069658233,0.249953124121134,687000.0
68,20210310,1,Positive,0.0841910572220307,0.2499765622802784,685000.0
69,20210311,1,Neutral,0.0826320957723396,0.2498593670909315,715000.0
70,20210312,0,Neutral,0.1394994969818914,0.2497890447058202,743000.0
73,20210315,1,Positive,0.0871961327561327,0.2499765622802784,735000.0
74,20210316,0,Positive,0.0605229660302124,0.2499765622802784,733000.0
75,20210317,1,Positive,0.1037840680446314,0.2499765622802784,719000.0
76,20210318,0,Positive,0.097811638623157,0.2499765622802784,722000.0
77,20210319,0,Neutral,0.0544028078403078,0.249953124121134,708000.0
80,20210322,0,Positive,0.0781906937859319,0.2499765622802784,715000.0
81,20210323,0,Neutral,0.0917438926232896,0.2499765622802784,713000.0
82,20210324,1,Positive,0.0893138815841022,0.2499765622802784,716000.0
83,20210325,1,Neutral,0.0778162484217171,0.249953124121134,718000.0
84,20210326,0,Neutral,0.0844361356728377,0.249953124121134,725000.0
87,20210329,1,Positive,0.0762485405540961,0.2499765622802784,748000.0
88,20210330,0,Positive,0.0898731007554537,0.2499765622802784,747000.0
89,20210331,1,Positive,0.0688794867683756,0.2499765622802784,748000.0
90,20210401,1,Neutral,0.0929677238860911,0.249953124121134,747000.0
