,일자,KOSPI,sent_score,sent_label,뉴스개수,mean_sent_score,sent_label_whole
0,20210101,75,230.6064177,57,75,3.074752235,1
1,20210102,14,27.51162407,11,14,1.965116005,1
2,20210103,93,243.4692077,71,93,2.61794847,1
3,20210104,270,125.0280689,175,270,0.463066922,1
4,20210105,0,-327.4444649,124,261,-1.254576494,0
5,20210106,242,2.863534679,139,242,0.011832788,1
6,20210107,212,-73.08770823,118,212,-0.344753341,1
7,20210108,0,-478.9089522,68,186,-2.574779313,0
8,20210109,0,-39.21452079,8,24,-1.633938366,0
9,20210110,0,28.1009063,41,87,0.322998923,1
10,20210111,0,-51.49104794,126,253,-0.203521929,1
11,20210112,220,112.5377098,139,220,0.511535045,1
12,20210113,236,179.4417988,147,236,0.760346605,1
13,20210114,0,-185.2680168,104,191,-0.969989617,0
14,20210115,0,-37.58642528,74,152,-0.247279114,1
15,20210116,20,40.84361844,16,20,2.042180922,1
16,20210117,97,43.16685012,63,97,0.445019073,1
17,20210118,235,131.4308846,151,235,0.55928036,1
18,20210119,231,12.1458616,138,231,0.052579487,1
19,20210120,246,111.5011047,160,246,0.453256523,1
20,20210121,0,96.26140273,135,245,0.392903685,1
21,20210122,160,37.28211308,95,160,0.233013207,1
22,20210123,0,-2.773278049,3,8,-0.346659756,1
23,20210124,0,15.69968695,51,81,0.193823296,1
24,20210125,0,-115.7686427,139,245,-0.472525072,1
25,20210126,0,-1791.29284,105,234,-7.655097608,0
26,20210127,0,-1837.055838,127,277,-6.631970535,0
27,20210128,0,-3487.86242,123,328,-10.63372689,0
28,20210129,219,-2108.13994,96,219,-9.626209771,0
29,20210130,16,64.47376901,14,16,4.029610563,1
30,20210131,107,188.0768848,76,107,1.757727895,1
31,20210201,263,249.7389483,165,263,0.94957775,1
32,20210202,208,199.5821145,129,208,0.959529397,1
33,20210203,0,-368.7819215,120,262,-1.407564586,0
34,20210204,224,-195.4474103,121,224,-0.872533082,0
35,20210205,0,-245.1444233,86,169,-1.450558718,0
36,20210206,0,-44.67755418,9,28,-1.595626935,0
37,20210207,0,10.04383647,58,109,0.092145289,1
38,20210208,0,-307.680887,119,236,-1.303732572,0
39,20210209,236,-202.4868419,136,236,-0.857995093,0
40,20210210,173,-160.9251281,83,173,-0.930203052,0
41,20210211,38,54.34002915,22,38,1.430000767,1
42,20210212,33,19.35492301,19,33,0.586512818,1
43,20210213,36,-1.107940788,22,36,-0.030776133,1
44,20210214,117,135.9945254,84,117,1.162346371,1
45,20210215,236,38.37735725,139,236,0.162615921,1
46,20210216,0,-150.5829415,108,233,-0.646278719,0
47,20210217,0,-202.1040487,109,231,-0.874909302,0
48,20210218,213,8.300828061,123,213,0.038971024,1
49,20210219,0,-193.0051374,82,160,-1.206282109,0
50,20210220,0,50.66302932,16,26,1.948578051,1
51,20210221,0,-43.26026544,59,105,-0.412002528,1
52,20210222,0,-293.6939172,103,226,-1.299530607,0
53,20210223,0,-196.5599473,107,233,-0.843604924,0
54,20210224,238,106.2929343,134,238,0.446608968,1
55,20210225,0,-170.3325531,116,235,-0.724819375,0
56,20210226,149,96.42305423,93,149,0.647134592,1
57,20210227,22,38.50490696,14,22,1.750223044,1
58,20210228,80,49.06875299,50,80,0.613359412,1
59,20210301,146,214.0186446,95,146,1.465881128,1
60,20210302,241,9.124430529,143,241,0.037860708,1
61,20210303,0,-281.9341144,98,200,-1.409670572,0
