No,Machine,Point,Temp,Createtime
3273461,2,C,52.1,2023-09-25 09:59:49
3273460,2,C,54.1,2023-09-25 09:59:48
3273459,2,C,51.5,2023-09-25 09:59:47
3273458,2,C,53,2023-09-25 09:59:46
3273457,2,C,54.2,2023-09-25 09:59:45
3273456,2,C,53,2023-09-25 09:59:44
3273455,2,C,52.8,2023-09-25 09:59:43
3273454,2,C,51.5,2023-09-25 09:59:42
3273453,2,C,53.8,2023-09-25 09:59:40
3273452,2,C,52.4,2023-09-25 09:59:39
3273451,2,C,54.9,2023-09-25 09:59:38
3273450,2,C,53.9,2023-09-25 09:59:37
3273449,2,C,52.6,2023-09-25 09:59:36
3273448,2,C,54.4,2023-09-25 09:59:35
3273447,2,C,52.9,2023-09-25 09:59:34
3273446,2,C,52.9,2023-09-25 09:59:33
3273445,2,C,53.9,2023-09-25 09:59:32
3273444,2,C,52.5,2023-09-25 09:59:31
3273443,2,C,53,2023-09-25 09:59:30
3273442,2,C,52.4,2023-09-25 09:59:29
3273441,2,C,51.7,2023-09-25 09:59:28
3273440,2,C,52.9,2023-09-25 09:59:27
3273439,2,C,52.4,2023-09-25 09:59:26
3273438,2,C,54.1,2023-09-25 09:59:25
3273437,2,C,52.5,2023-09-25 09:59:24
3273436,2,C,52.2,2023-09-25 09:59:23
3273435,2,C,51.5,2023-09-25 09:59:21
3273434,2,C,52.4,2023-09-25 09:59:20
3273433,2,C,51.6,2023-09-25 09:59:19
3273432,2,C,52.9,2023-09-25 09:59:18
3273431,2,C,52.9,2023-09-25 09:59:17
3273430,2,C,52.5,2023-09-25 09:59:16
3273429,2,C,54.7,2023-09-25 09:59:15
3273428,2,C,52.9,2023-09-25 09:59:14
3273427,2,C,52.4,2023-09-25 09:59:13
3273426,2,C,53.3,2023-09-25 09:59:12
3273425,2,C,54.4,2023-09-25 09:59:11
3273424,2,C,51.5,2023-09-25 09:59:10
3273423,2,C,53.7,2023-09-25 09:59:09
3273422,2,C,53.8,2023-09-25 09:59:08
3273421,2,C,54.1,2023-09-25 09:59:07
3273420,2,C,53,2023-09-25 09:59:06
3273419,2,C,51.8,2023-09-25 09:59:04
3273418,2,C,51.4,2023-09-25 09:59:03
3273417,2,C,54.2,2023-09-25 09:59:02
3273416,2,C,53.3,2023-09-25 09:59:01
3273415,2,C,53.2,2023-09-25 09:59:00
3273414,2,C,52.9,2023-09-25 09:58:59
3273413,2,C,51.5,2023-09-25 09:58:58
3273412,2,C,51.7,2023-09-25 09:58:57
3273411,2,C,52.4,2023-09-25 09:58:56
3273410,2,C,51.8,2023-09-25 09:58:55
3273409,2,C,54.9,2023-09-25 09:58:54
3273408,2,C,52.6,2023-09-25 09:58:53
3273407,2,C,53,2023-09-25 09:58:52
3273406,2,C,53.2,2023-09-25 09:58:51
3273405,2,C,53.7,2023-09-25 09:58:50
3273404,2,C,52.5,2023-09-25 09:58:49
3273403,2,C,52.2,2023-09-25 09:58:48
3273402,2,C,52.9,2023-09-25 09:58:47
3273401,2,C,55.3,2023-09-25 09:58:46
3273400,2,C,52.5,2023-09-25 09:58:44
3273399,2,C,54.8,2023-09-25 09:58:43
3273398,2,C,52,2023-09-25 09:58:42
3273397,2,C,53.6,2023-09-25 09:58:41
3273396,2,C,54.8,2023-09-25 09:58:40
3273395,2,C,55.9,2023-09-25 09:58:39
3273394,2,C,53.5,2023-09-25 09:58:38
3273393,2,C,54.4,2023-09-25 09:58:37
3273392,2,C,54,2023-09-25 09:58:36
3273391,2,C,54.3,2023-09-25 09:58:35
3273390,2,C,56.5,2023-09-25 09:58:34
3273389,2,C,53.2,2023-09-25 09:58:33
3273388,2,C,54.4,2023-09-25 09:58:32
3273387,2,C,53,2023-09-25 09:58:31
3273386,2,C,53,2023-09-25 09:58:30
3273385,2,C,53.6,2023-09-25 09:58:29
3273384,2,C,54.7,2023-09-25 09:58:27
3273383,2,C,53.3,2023-09-25 09:58:26
3273382,2,C,53.6,2023-09-25 09:58:25
3273381,2,C,53.1,2023-09-25 09:58:24
3273380,2,C,51.6,2023-09-25 09:58:23
3273379,2,C,51.3,2023-09-25 09:58:22
3273378,2,C,52.7,2023-09-25 09:58:21
3273377,2,C,52.7,2023-09-25 09:58:20
3273376,2,C,52.8,2023-09-25 09:58:19
3273375,2,C,53.3,2023-09-25 09:58:18
3273374,2,C,55.1,2023-09-25 09:58:17
3273373,2,C,53.3,2023-09-25 09:58:16
3273372,2,C,52.2,2023-09-25 09:58:15
3273371,2,C,50.7,2023-09-25 09:58:14
3273370,2,C,51.7,2023-09-25 09:58:13
3273369,2,C,52.1,2023-09-25 09:58:12
3273368,2,C,51.8,2023-09-25 09:58:11
3273367,2,C,54.1,2023-09-25 09:58:10
3273366,2,C,53.4,2023-09-25 09:58:09
3273365,2,C,52.9,2023-09-25 09:58:07
3273364,2,C,52.5,2023-09-25 09:58:06
3273363,2,C,55.8,2023-09-25 09:58:05
3273362,2,C,53.5,2023-09-25 09:58:04
3273361,2,C,52,2023-09-25 09:58:03
3273360,2,C,54.3,2023-09-25 09:58:02
3273359,2,C,53.6,2023-09-25 09:58:01
3273358,2,C,53,2023-09-25 09:58:00
3273357,2,C,53.1,2023-09-25 09:57:59
3273356,2,C,50.9,2023-09-25 09:57:58
3273355,2,C,53.3,2023-09-25 09:57:57
3273354,2,C,53,2023-09-25 09:57:56
3273353,2,C,55,2023-09-25 09:57:55
3273352,2,C,54.5,2023-09-25 09:57:54
3273351,2,C,52.4,2023-09-25 09:57:53
3273350,2,C,54.3,2023-09-25 09:57:52
3273349,2,C,53.3,2023-09-25 09:57:51
3273348,2,C,53.3,2023-09-25 09:57:50
3273347,2,C,52.2,2023-09-25 09:57:49
3273346,2,C,52,2023-09-25 09:57:48
3273345,2,C,52.3,2023-09-25 09:57:47
3273344,2,C,52.5,2023-09-25 09:57:46
3273343,2,C,52.5,2023-09-25 09:57:44
3273342,2,C,52.8,2023-09-25 09:57:43
3273341,2,C,51.7,2023-09-25 09:57:42
3273340,2,C,52.6,2023-09-25 09:57:41
3273339,2,C,52.4,2023-09-25 09:57:40
3273338,2,C,52.2,2023-09-25 09:57:39
3273337,2,C,51.7,2023-09-25 09:57:38
3273336,2,C,51.3,2023-09-25 09:57:37
3273335,2,C,51.6,2023-09-25 09:57:36
3273334,2,C,51.6,2023-09-25 09:57:35
3273333,2,C,52.5,2023-09-25 09:57:34
3273332,2,C,52.6,2023-09-25 09:57:33
3273331,2,C,52.7,2023-09-25 09:57:32
3273330,2,C,53.7,2023-09-25 09:57:31
3273329,2,C,52.6,2023-09-25 09:57:30
3273328,2,C,53.2,2023-09-25 09:57:29
3273327,2,C,52.9,2023-09-25 09:57:28
3273326,2,C,53.2,2023-09-25 09:57:27
3273325,2,C,51.3,2023-09-25 09:57:26
3273324,2,C,53.1,2023-09-25 09:57:25
3273323,2,C,53.2,2023-09-25 09:57:24
3273322,2,C,53.7,2023-09-25 09:57:23
3273321,2,C,52.7,2023-09-25 09:57:22
3273320,2,C,53.3,2023-09-25 09:57:21
3273319,2,C,54.4,2023-09-25 09:57:20
3273318,2,C,52.9,2023-09-25 09:57:19
3273317,2,C,51.7,2023-09-25 09:57:18
3273316,2,C,53.5,2023-09-25 09:57:17
3273315,2,C,52.9,2023-09-25 09:57:15
3273314,2,C,53.4,2023-09-25 09:57:14
3273313,2,C,52.9,2023-09-25 09:57:13
3273312,2,C,53.1,2023-09-25 09:57:12
3273311,2,C,54.3,2023-09-25 09:57:11
3273310,2,C,53.5,2023-09-25 09:57:10
3273309,2,C,53.5,2023-09-25 09:57:09
3273308,2,C,52.4,2023-09-25 09:57:08
3273307,2,C,51.9,2023-09-25 09:57:07
3273306,2,C,53,2023-09-25 09:57:06
3273305,2,C,52.1,2023-09-25 09:57:05
3273304,2,C,53.4,2023-09-25 09:57:04
3273303,2,C,52.7,2023-09-25 09:57:03
3273302,2,C,50.8,2023-09-25 09:57:02
3273301,2,C,53.5,2023-09-25 09:57:01
3273300,2,C,51.8,2023-09-25 09:57:00
3273299,2,C,52.8,2023-09-25 09:56:59
3273298,2,C,55.5,2023-09-25 09:56:58
3273297,2,C,52.8,2023-09-25 09:56:57
3273296,2,C,54.3,2023-09-25 09:56:56
3273295,2,C,55.1,2023-09-25 09:56:55
3273294,2,C,54.9,2023-09-25 09:56:54
3273293,2,C,53.5,2023-09-25 09:56:53
3273292,2,C,53,2023-09-25 09:56:52
3273291,2,C,53.2,2023-09-25 09:56:51
3273290,2,C,53.2,2023-09-25 09:56:49
3273289,2,C,53.2,2023-09-25 09:56:48
3273288,2,C,53,2023-09-25 09:56:47
3273287,2,C,55.4,2023-09-25 09:56:46
3273286,2,C,55,2023-09-25 09:56:45
3273285,2,C,54.7,2023-09-25 09:56:44
3273284,2,C,52.9,2023-09-25 09:56:43
3273283,2,C,54,2023-09-25 09:56:42
3273282,2,C,53,2023-09-25 09:56:41
3273281,2,C,53.1,2023-09-25 09:56:40
3273280,2,C,52.1,2023-09-25 09:56:39
3273279,2,C,52.4,2023-09-25 09:56:38
3273278,2,C,52.4,2023-09-25 09:56:37
3273277,2,C,53.7,2023-09-25 09:56:36
3273276,2,C,51.7,2023-09-25 09:56:35
3273275,2,C,52.8,2023-09-25 09:56:34
3273274,2,C,52.6,2023-09-25 09:56:33
3273273,2,C,52.7,2023-09-25 09:56:31
3273272,2,C,54.2,2023-09-25 09:56:30
3273271,2,C,53.5,2023-09-25 09:56:29
3273270,2,C,54.2,2023-09-25 09:56:28
3273269,2,C,53.2,2023-09-25 09:56:27
3273268,2,C,53.4,2023-09-25 09:56:26
3273267,2,C,51.8,2023-09-25 09:56:25
3273266,2,C,53,2023-09-25 09:56:24
3273265,2,C,54.7,2023-09-25 09:56:23
3273264,2,C,52.2,2023-09-25 09:56:22
3273263,2,C,52.5,2023-09-25 09:56:21
3273262,2,C,52.2,2023-09-25 09:56:20
3273261,2,C,53.2,2023-09-25 09:56:19
3273260,2,C,52.1,2023-09-25 09:56:18
3273259,2,C,51.8,2023-09-25 09:56:17
3273258,2,C,52.2,2023-09-25 09:56:16
3273257,2,C,52,2023-09-25 09:56:15
3273256,2,C,52.2,2023-09-25 09:56:14
3273255,2,C,53.7,2023-09-25 09:56:13
3273254,2,C,54.7,2023-09-25 09:56:12
3273253,2,C,52,2023-09-25 09:56:11
3273252,2,C,51.3,2023-09-25 09:56:10
3273251,2,C,53.5,2023-09-25 09:56:09
3273250,2,C,53.7,2023-09-25 09:56:08
3273249,2,C,53.2,2023-09-25 09:56:07
3273248,2,C,53.9,2023-09-25 09:56:06
3273247,2,C,53.9,2023-09-25 09:56:04
3273246,2,C,53.6,2023-09-25 09:56:03
3273245,2,C,54.6,2023-09-25 09:56:02
3273244,2,C,52.9,2023-09-25 09:56:01
